ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
1,董先生珠宝,dongxianshengzb,8327706,male,珠宝,0,6012351,204.1w,37700,377,4.44,11,894,1天17时58分29秒
2,罗永浩,luoyonghao,17971919,male,科技,5,4029071,366.1w,33000,330,4.75,31,1715,12天8时29分10秒
3,大狼狗郑建鹏&言真夫妇,AresCheng,18177926,male,种草,14,6116322,191.5w,29800,298,4.77,17,312,3天14时27分37秒
4,朱梓骁,Zhu.Zi.Xiao_813,7271941,male,明星,9,4035136,192.7w,23400,234,4.69,20,690,4天13时19分12秒
5,子安（每周日～周四晚8:30直播）,665135610,3820706,female,穿搭,0,668721,10.6w,16100,161,5,24,3632,3天4时13分38秒
6,陈三废gg 12号姐夫生日会?,chensanfeigg31,29361764,male,生活,10,3605537,325.3w,16200,162,4.62,33,935,4天6时23分11秒
7,罗拉密码,LOORA88888,4819501,female,穿搭,0,1432721,151.2w,15900,159,4.92,11,1455,3天5时17分58秒
8,呗呗兔_6号上午11点年中盛典,3897894,10381886,female,美妆,8,1925917,135.6w,15400,154,4.73,18,574,3天12时45分9秒
9,邱莹莹服饰,qiu_yingying,697886,female,穿搭,0,506963,50.6w,15200,152,4.82,27,1499,6天11时23分13秒
10,张庭,Ting998888,27157463,female,明星,9,8832270,133.3w,14600,146,4.68,5,426,1天19时45分23秒
11,韩国媳妇大璐璐（正在直播狂欢闺蜜节）,lulu1255,8683974,female,网红,12,3021437,166.3w,14300,143,4.74,17,402,3天4时6分5秒
12,胡海泉,haiquanpaoge,3455310,male,明星,9,1876368,21.3w,11800,118,4.73,4,186,1天9时19分32秒
13,懒猫nono（5号18点，直播间见）,minminK,875084,female,穿搭,0,348897,24.0w,11100,111,4.98,21,785,5天7时22分5秒
14,衣哥,1987yige,19576081,male,种草,14,5410730,144.3w,10700,107,4.43,19,347,4天11时57分31秒
15,Teenie Weenie官方旗舰店,teenieweenie_,1110178,female,穿搭,0,309703,27.6w,10600,106,1.96,72,617,19天23时34分47秒
16,戚薇,qiwei7V,13486738,female,明星,9,7417510,55.8w,10100,101,4.87,4,373,1天14时54分24秒
17,刘芳形体礼仪,LF117788,13733711,female,珠宝,0,1949033,68.2w,10000,100,4.95,58,187,8天17时44分59秒
18,小小101,wa101,11381479,female,美妆,8,2527405,135.0w,9667,96.67,4.72,27,387,4天11时28分2秒
19,七阿姨7月8号中午12点宇宙之战,7haoluren,27725907,female,种草,14,6673995,145.5w,9656.8,96.57,4.55,12,354,2天1时20分25秒
20,Tracy董博文（周二晚19点加班）,Tracydong0318,794907,female,珠宝,0,246316,2.4w,9178.7,91.79,4.94,18,6328,4天16时33分1秒
21,太平鸟female装官方旗舰店,1268025915,1862518,female,穿搭,0,163208,28.9w,8995.8,89.96,4.91,76,581,23天1时36分22秒
22,adidas官方旗舰店,adidasFlagship,1038108,female,穿搭,0,1724219,37.8w,8721.5,87.22,4.7,32,753,22天22时4分58秒
23,?盈公主?想我快来呼叫我！,yinggongzhu01,2216327,female,穿搭,0,231161,25.7w,8708.5,87.09,4.79,23,589,3天14时45分15秒
24,杭州四季青服装市场林宏武服饰店,lhw581888,1507820,female,穿搭,0,980061,78.2w,8693.6,86.94,4.98,33,1301,8天1时47分41秒
25,主持人王芳,660260823,9193144,female,教育,4,406025,138.6w,8548.8,85.49,4.9,57,1382,9天12时41分40秒
26,彩虹夫妇7月11早上10点冲刺500万粉,SCH19901993,4545451,female,生活,10,1864377,91.0w,8228.9,82.29,4.93,16,222,1天23时33分3秒
27,江路珠宝,2166370042,170522,male,珠宝,0,231275,39.6w,7430.6,74.31,4.77,28,4249,5天13时54分4秒
28,百丽官方旗舰店,BELLEVIP2021,1093168,female,穿搭,0,661825,22.9w,7030.9,70.31,1.76,47,203,23天1时50分32秒
29,涂磊,189251310,48358582,male,明星,9,4100214,72.2w,6962.9,69.63,4.76,12,185,3天10时38分24秒
30,黑码科技,heima_6699,10453203,female,科技,5,1082339,54.6w,6831.5,68.32,4.85,41,931,21天18时53分56秒
31,吴震8点直播,291302351,1637911,male,珠宝,0,411300,55.0w,6822.9,68.23,4.46,21,534,1天10时46分7秒
32,国岳,guoyaxiao88,6476098,female,生活,10,663753,29.6w,6616.9,66.17,4.59,30,538,4天15时54分16秒
33,举石珠宝,1500647989,4152923,female,珠宝,0,756125,20.5w,6499,64.99,4.36,21,4534,10天15时32分34秒
34,星辰大乔服饰,1099239699,1692753,female,穿搭,0,1067696,69.8w,6161,61.61,1.96,27,3106,7天15时11分16秒
35,鼎百福珠宝—潇洒哥,DBF68888,170696,female,珠宝,0,193744,45.6w,6044.5,60.45,3.86,34,6056,5天23时30分28秒
36,我是张凯毅,ZHANGkaiyi666,9106350,female,美妆,8,2616299,12.6w,6011,60.11,4.97,2,170,15时53分19秒
37,刘媛媛-7月12号公司成立六周年浮力场,liuyuanyuan1991,10920760,female,生活,10,416009,57.2w,5900.4,59,4.9,44,769,7天23时8分10秒
38,美希（7.8日12点直播1000台手机,88mei666,3316219,female,美妆,8,1452118,115.5w,5894.2,58.94,4.79,29,206,3天21时16分1秒
39,李金铭,lijinming7,3328428,female,明星,9,3219756,47.5w,5845.7,58.46,4.84,11,321,1天18时38分35秒
40,星雅珠宝,Xingyazhubao168,423760,male,珠宝,0,305262,50.8w,5844.8,58.45,4.53,40,4325,2天22时5分48秒
41,大志珠宝,dzzb001,136889,male,珠宝,0,146969,24.4w,5841.1,58.41,4.9,17,1279,1天18时10分45秒
42,胖虎高扬,ponhu009,223152,male,穿搭,0,265120,1.6w,5835,58.35,4.84,22,2170,5天3时6分15秒
43,兰姐（今天中午12:30直播）,lanjiexinhao,917051,female,生活,10,221198,25.8w,5693.8,56.94,4.75,29,152,3天22时47分33秒
44,梦巢家纺 早上六点开播,mcjf888,539946,female,生活,10,121150,37.7w,5660.3,56.6,4.72,96,915,16天16时11分24秒
45,同瑄服饰 晚7点直播,1st55555,897586,female,穿搭,0,607031,16.9w,5515.8,106,4.99,23,492,5天13时15分49秒
46,举石翡翠,JS77788,576940,male,珠宝,0,421588,14.3w,5439.7,54.4,4.3,27,3853,9天15时56分34秒
47,搭搭“随便夫妇”?8号中午12点直播,dadaheixiong,6942970,female,生活,10,961092,70.4w,5365.1,53.65,4.71,20,181,3天20时41分57秒
48,千屿sheila（今晚7点直播）,qianyuzi,1210215,female,穿搭,0,379451,47.1w,5356.9,53.57,4.99,21,1766,3天19时59分51秒
49,蕾蕾公主脸皮是真的厚（星期一公主休息,605717931,907685,female,穿搭,0,518708,38.6w,5329.2,53.29,4.99,26,381,7天16时1分10秒
50,郑铁头今晚九点地球之战,Gi666,3063633,male,科技,5,461595,21.7w,5284.9,52.85,4.67,33,159,2天22时47分14秒
51,华为终端,HWZD,5574408,female,科技,5,532986,1.3w,5201.8,52.02,5,18,99,2天22时49分39秒
52,珍珠奶奶,GVORVIP,292096,female,珠宝,0,38006,9.9w,5102.4,51.02,4.8,110,26746,25天19时13分22秒
53,凤栖梧香云纱(高薪招主播),FXWFXW,1391299,female,穿搭,0,319679,10.8w,5069.9,50.7,4.78,55,239,25天11时17分38秒
54,九儿female装1号店,Jiuer.9999999,557440,female,穿搭,0,350632,47.1w,5011.1,50.11,4.99,41,344,6天12时20分21秒
55,胖虎二手奢侈品,Ponhu,361320,female,珠宝,0,26138,8300,4963.5,49.64,4.89,108,4151,22天7时51分31秒
56,妖精的口袋ELFSACK官方旗舰店,elfsack,1152837,female,穿搭,0,479790,37.3w,4898,48.98,4.91,53,591,19天22时1分13秒
57,洛哥??小休一天！,lluo9527,553288,female,穿搭,0,235698,22.3w,1896,18.96,5,21,838,1天21时56分18秒
58,小熊出没7.6号5点超多新款！给力,xiaoxiong6188,252549,female,穿搭,0,163991,13.3w,4895,48.95,4.93,29,1589,5天20时33分15秒
59,马帅归来｜下一场，疯掉！,PgyMa,1314758,male,种草,14,361831,19.4w,4888.2,48.88,4.77,16,256,2天18时54分12秒
60,小影夫妇第二季奢品宠粉节周四12点直播,xiaoying198312,7201633,female,生活,10,2024196,174.7w,4856.8,48.57,4.93,9,221,1天5时16分24秒
61,南通自在家纺,zizaijia888,1221716,male,种草,14,701991,22.6w,4732.7,47.33,1.62,34,177,8天6时26分13秒
62,石力派翡翠,724937209,134427,male,珠宝,0,81435,1.3w,4689.6,46.9,4.77,38,7287,25天10时7分2秒
63,大鱼—8号纯绒盛宴??今年首发开炸?,DY0221x,502248,female,穿搭,0,169117,14.2w,1668.5,48.57,4.91,15,678,2天16时26分11秒
61,海莉（实力宠粉）,haili1347,2985040,female,美妆,8,1057217,68.0w,1655.6,16.56,4.89,27,177,5天1时59分6秒
65,瑞妮Renee,hanna2018_666,275221,female,种草,14,127289,1.5w,4547.8,45.48,4.99,19,1552,4天11时55分24秒
66,小马吃草,1645659986,7502059,male,美食,7,6404843,101.3w,4538.8,45.39,4.77,5,176,19时35分52秒
67,叶可可?7号，难得高货,keermia,725715,female,穿搭,0,206121,15.8w,1521.6,15.22,4.97,15,691,2天17时44分31秒
68,辉灿珠宝,88888889hc,267457,male,珠宝,0,119191,2.3w,4446.5,44.47,4.97,31,4041,27天12时7分1秒
69,妃鱼夏妍,Feiyuxiayan,781150,female,种草,14,334241,1.5w,4421.5,44.22,4.72,22,6512,5天7时36分57秒
70,lovemimius游鹿鹿,Lovemimius,1180613,female,穿搭,0,316393,60.8w,4347.7,43.48,4.99,25,855,3天18时43分45秒
71,中国黄金ChinaGold专卖店,ChinaGoldNo1,1887978,female,珠宝,0,798813,45.8w,4318.2,43.18,4.78,45,1177,10天8时51分49秒
72,城丽珠宝（7号早上6:30洱海直播）,yxg9688,237224,female,珠宝,0,45580,4.3w,4306.5,43.07,4.99,28,3455,7天9时45分57秒
73,ojaer 鸥纪儿,ojaer,1750152,female,穿搭,0,257115,22.5w,4210.1,42.1,4.75,29,1186,3天23时37分54秒
74,桔夕二手奢侈品,liangliangbabt,366309,male,种草,14,255208,6912,4198.2,41.98,1.67,48,6130,29天7时36分2秒
75,cici茜,qianjie518518,1442807,female,网红,12,349302,34.9w,4193.2,41.93,4.98,19,123,3天18时29分23秒
76,周大生珠宝严选,zhoudashengzhibo,790014,female,珠宝,0,688721,14.6w,4116.1,41.16,4.6,24,188,9天22时19分44秒
77,不二珠宝(7.8号晚6点半直播）,shidai1,130643,male,珠宝,0,122270,4.2w,4114.2,41.14,4.8,12,2566,3天11时32分33秒
78,上海车王female装（7月7号晚上7:00见）,Tinasummer,1132969,female,穿搭,0,852308,16.6w,4094.3,40.94,4.83,19,347,5天51分3秒
79,金六福荣耀精选,Jsp5888,246084,male,珠宝,0,124504,24.3w,4057.2,40.57,4.57,81,17743,13天16时32分58秒
80,音儿YINER旗舰店,1996YINER,713616,female,穿搭,0,82318,4.8w,4015.2,40.15,4.94,71,538,14天8时1分47秒
81,评价珠宝二号店,pjzb222,267775,female,网红,12,84648,16.7w,4000.1,40,4.95,33,7336,7天23时7分22秒
82,雅琴 ??7.9日11:50开播,yaqin0602,534591,female,美妆,8,340455,18.0w,3991.9,39.92,4.81,13,143,3天2时4分28秒
83,李晨nic,15971668,1682671,male,明星,9,1469350,28.5w,3966.1,39.66,4.91,7,514,2天18时7分39秒
84,岳老板-今天下午7点粉丝生日会,17173685,25250760,male,生活,10,2506139,48.6w,3943.6,39.44,4.15,11,244,1天23时54分45秒
85,STACCATO思加图官方旗舰店,staccato,427248,female,穿搭,0,185623,7.0w,3899.7,39,4.89,83,249,18天15时58分38秒
86,胖艳珠宝,pyzb668,105969,female,珠宝,0,102171,3.9w,3895.5,38.96,4.92,23,3342,5天13时53分24秒
87,廷姐叨叨叨（下午1点开播),xinshangjianding,171031,female,种草,14,83405,7968,3858.1,38.58,4.34,27,5073,5天19时39分26秒
88,Linda姐香云纱,YiXiSilk,276309,female,穿搭,0,56198,3.8w,3816,38.16,4.99,89,332,25天22时4分33秒
89,iQOO官方旗舰店,iQOO2233,253744,female,科技,5,155112,2.0w,3814.8,38.15,4.71,35,53,22天13时7分17秒
90,黄小敏●DOKKY高定female装,HXMDOKKY,740241,female,穿搭,0,212052,44.9w,3776.8,37.77,4.93,23,1685,2天19时44分38秒
91,煤炭江湖刘帮主,121545892,6835301,male,搞笑,2,671256,41.6w,3769.8,37.7,4.8,22,246,3天4时56分43秒
92,花西子Florasis,florasis,2685656,female,美妆,8,369805,22.6w,3718.9,37.19,4.94,30,53,17天21时16分32秒
93,冬姐精选-,dongjie520666,611738,female,穿搭,0,109208,5.0w,3713.4,37.13,4.89,18,833,3天6时11分9秒
94,嘉一JIAYI (每早8:30直播),666.JIAYI.666,382738,female,穿搭,0,249128,6.8w,3673.2,36.73,4.92,27,233,8天11时6分21秒
